"","baseMean","log2FoldChange","lfcSE","pvalue","padj","geneName","symbol"
"ENSMUSG00000026380.11",117.651643638262,5.29339897218455,0.458571090735794,1.41827110384962e-31,9.30149465608043e-29,"transcription factor CP2-like 1","Tfcp2l1"
"ENSMUSG00000021662.12",780.547488277113,2.33455560957239,0.205650040388589,4.46141301207772e-31,2.77194634776724e-28,"Rho guanine nucleotide exchange factor (GEF) 28","Arhgef28"
"ENSMUSG00000046743.7",232.465668045522,-7.74562537345208,0.675846645623328,1.76063260914613e-30,1.0392133975485e-27,"FAT atypical cadherin 4","Fat4"
"ENSMUSG00000027831.10",192.422673975219,3.46005160606956,0.312503142059071,8.16868341177575e-30,4.59196703219108e-27,"ventricular zone expressed PH domain-containing 1","Veph1"
"ENSMUSG00000026837.17",449.066988899331,-2.8731514355267,0.265396090351128,1.38148029931939e-28,7.4128976970297e-26,"collagen, type V, alpha 1","Col5a1"
"ENSMUSG00000028518.9",96.2085989711893,3.95346473832871,0.366622105214859,3.91281912764616e-28,2.00829694790708e-25,"protein kinase, AMP-activated, alpha 2 catalytic subunit","Prkaa2"
"ENSMUSG00000057614.7",146.498168373128,7.07212929854203,0.643075220684609,5.34923579364198e-28,2.63115535599765e-25,"guanine nucleotide binding protein (G protein), alpha inhibiting 1","Gnai1"
"ENSMUSG00000056870.10",188.702031360409,-2.607402151255,0.243997065172138,7.00373821423118e-28,3.30716518475997e-25,"GULP, engulfment adaptor PTB domain containing 1","Gulp1"
"ENSMUSG00000018593.14",2415.27412975259,-1.34721563610436,0.128081774788717,6.08762363927858e-27,2.76401527160322e-24,"secreted acidic cysteine rich glycoprotein","Sparc"
"ENSMUSG00000074415.15",112.889340410778,-5.67118944473651,0.544291565829718,8.7720225238486e-27,3.83532318126047e-24,"Mir100 Mirlet7a-2 Mir125b-1 cluster host gene","Mir100hg"
"ENSMUSG00000032908.10",118.105239864605,6.75095462363144,0.628603509013728,1.03420950817523e-26,4.36030115857451e-24,"sphingosine-1-phosphate phosphatase 2","Sgpp2"
"ENSMUSG00000006345.11",85.4827430498518,4.58899458333026,0.455972237151816,7.0121626608023e-25,2.85443380037142e-22,"gamma-glutamyltransferase 1","Ggt1"
"ENSMUSG00000026255.16",138.952145724871,7.51519621158481,0.736190968319508,6.75737467553297e-24,2.65902693482222e-21,"EF hand domain containing 1","Efhd1"
"ENSMUSG00000031881.7",956.586952154053,8.29055534204262,0.848472294884653,8.00119003750989e-24,3.04690478686465e-21,"cadherin 16","Cdh16"
"ENSMUSG00000019966.19",138.295915805391,2.97989017620123,0.30591701818001,1.28529140627364e-23,4.74152032845635e-21,"kit ligand","Kitl"
"ENSMUSG00000000915.16",414.30451434285,2.41232688969045,0.248493428913153,1.76981332247425e-23,6.33110493085106e-21,"huntingtin interacting protein 1 related","Hip1r"
"ENSMUSG00000072235.7",2007.35501268441,-2.35998463431546,0.245771089231246,4.36724221743044e-23,1.51633218755195e-20,"tubulin, alpha 1A","Tuba1a"
"ENSMUSG00000004771.13",470.108276746597,1.61494070582408,0.168320389787207,6.2086508954597e-23,2.09408925202577e-20,"RAB11A, member RAS oncogene family","Rab11a"
"ENSMUSG00000022265.8",186.885733558375,-2.37975786904041,0.254093319039191,4.0930346365893e-22,1.34217427458158e-19,"progressive ankylosis","Ank"
"ENSMUSG00000034220.8",541.207833787709,-1.66307818488174,0.179470312821812,1.35574761602394e-21,4.32556773166556e-19,"glypican 1","Gpc1"
"ENSMUSG00000020961.16",139.673786929131,3.38056456313164,0.36655247279738,1.70226726595265e-21,5.28822765120289e-19,"stonin 2","Ston2"
"ENSMUSG00000037370.14",102.937196598437,2.94228995953428,0.322433505713794,3.84303472245213e-21,1.1632570486807e-18,"ectonucleotide pyrophosphatase/phosphodiesterase 1","Enpp1"
"ENSMUSG00000022887.10",79.5841435700958,-5.57894396605482,0.60314845378235,4.48733351198875e-21,1.32432430272568e-18,"mannan-binding lectin serine peptidase 1","Masp1"
"ENSMUSG00000006800.15",85.4252873310279,-6.53969426596746,0.701183184191133,1.07279759516258e-20,3.08887210021811e-18,"sulfatase 2","Sulf2"
"ENSMUSG00000034295.11",326.538097835384,2.26503847965918,0.25130902977885,1.22511002482385e-20,3.44343424834417e-18,"formin homology 2 domain containing 3","Fhod3"
"ENSMUSG00000035910.16",121.030548886184,7.69260734677072,0.858348879154633,2.87889559333196e-20,7.90357266960089e-18,"doublecortin domain containing 2a","Dcdc2a"
"ENSMUSG00000038244.15",145.63905870365,-2.23320248758938,0.250839785165795,3.38450845612258e-20,9.08048234648342e-18,"microtubule associated monooxygenase, calponin and LIM domain containing 2","Mical2"
"ENSMUSG00000031853.6",163.356724428311,8.13740677918603,0.872518139244701,3.46291931164227e-20,9.0843916608749e-18,"mitogen-activated protein kinase kinase kinase 21","Map3k21"
"ENSMUSG00000004105.9",127.214355997306,-5.28963204308148,0.605505243132101,1.22619358726418e-19,3.14678593427253e-17,"angiopoietin-like 2","Angptl2"
"ENSMUSG00000029093.15",166.065449352504,-2.77577469505169,0.318876303201037,1.55283339563877e-19,3.90025494372674e-17,"sortilin-related VPS10 domain containing receptor 2","Sorcs2"
"ENSMUSG00000038463.9",88.2509718679071,-3.54730988681115,0.406719353026884,1.84908419498573e-19,4.54759144204304e-17,"olfactomedin-like 2B","Olfml2b"
"ENSMUSG00000029102.10",118.632462220739,7.6668450340923,0.836004273762211,2.20673782066307e-19,5.31643672916888e-17,"hepatocyte growth factor activator","Hgfac"
"ENSMUSG00000006205.14",712.559109652343,-1.45132999954879,0.167682884652011,3.8468847048953e-19,9.0824947882578e-17,"HtrA serine peptidase 1","Htra1"
"ENSMUSG00000014329.15",2209.64176605345,1.582976471391,0.18430211951522,6.53986305839399e-19,1.51378594910473e-16,"BicC family RNA binding protein 1","Bicc1"
"ENSMUSG00000027375.15",683.00908802919,2.86164929247805,0.335001004026225,7.30628237291937e-19,1.65866660408295e-16,"myelin and lymphocyte protein, T cell differentiation protein","Mal"
"ENSMUSG00000068220.7",4424.23617054226,-1.13863654920326,0.132538990741654,8.80776751405131e-19,1.96180557553539e-16,"lectin, galactose binding, soluble 1","Lgals1"
"ENSMUSG00000020669.16",65.9145455365942,3.37027361138733,0.399207920433927,2.13459405388679e-18,4.60582278409639e-16,"Sh3 domain YSC-like 1","Sh3yl1"
"ENSMUSG00000039497.9",98.520598277719,-2.85585336031522,0.338772674865218,2.145872538122e-18,4.60582278409639e-16,"dermatan sulfate epimerase","Dse"
"ENSMUSG00000027800.15",115.057998759381,-2.69783654746656,0.323298393376997,4.26381343600406e-18,8.85876211925978e-16,"transmembrane 4 superfamily member 1","Tm4sf1"
"ENSMUSG00000025082.9",55.7020346292528,5.18050084250637,0.608159353581252,4.2774200829971e-18,8.85876211925978e-16,"von Willebrand factor A domain containing 2","Vwa2"
"ENSMUSG00000022323.12",309.992018513107,2.22416616357383,0.26727431184095,5.29000802062652e-18,1.07669904626717e-15,"reactive intermediate imine deaminase A homolog","Rida"
"ENSMUSG00000061718.13",87.3137974185348,3.04159911893845,0.366928527003193,8.10388253966163e-18,1.62146327763908e-15,"protein phosphatase 1, regulatory inhibitor subunit 1B","Ppp1r1b"
"ENSMUSG00000027765.7",77.0502129793728,3.30954090977635,0.401338836831709,1.16799051152374e-17,2.29802133142295e-15,"purinergic receptor P2Y, G-protein coupled 1","P2ry1"
"ENSMUSG00000027900.16",368.972906729654,2.09131429488575,0.2568454851016,2.41992046677782e-17,4.68314116562495e-15,"DNA-damage regulated autophagy modulator 2","Dram2"
"ENSMUSG00000026043.19",111.893715958881,-8.17698661148954,1.07385394681685,3.26731407279853e-17,6.22107139183655e-15,"collagen, type III, alpha 1","Col3a1"
"ENSMUSG00000020009.14",535.031922060052,1.60885268248624,0.19813423626236,3.41851599021951e-17,6.40564781976847e-15,"interferon gamma receptor 1","Ifngr1"
"ENSMUSG00000018126.16",70.2390759420201,4.47612049002325,0.572557566759512,3.95822324745297e-17,7.30106647440348e-15,"BAI1-associated protein 2-like 2","Baiap2l2"
"ENSMUSG00000025915.15",142.775356323719,1.92180309727183,0.237827527742795,4.40759479818426e-17,7.88827078755516e-15,"serum/glucocorticoid regulated kinase 3","Sgk3"
"ENSMUSG00000001870.17",192.277327109071,-2.79422651660864,0.34800118882536,4.41021492569793e-17,7.88827078755516e-15,"latent transforming growth factor beta binding protein 1","Ltbp1"
"ENSMUSG00000051323.17",114.230703767077,-3.71830405764851,0.463815415427671,4.71631736799715e-17,8.30986963122483e-15,"protocadherin 19","Pcdh19"
"ENSMUSG00000028357.14",131.499294899781,11.5189031218161,3.02007293834391,6.64988966939422e-17,1.15444040510586e-14,"kinesin family member 12","Kif12"
"ENSMUSG00000022893.15",823.171292453858,1.44030196104715,0.179176766680281,7.36395548179074e-17,1.25987673134115e-14,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1","Adamts1"
"ENSMUSG00000032702.17",712.781951271389,1.29492260563304,0.161503191134249,9.61787641068174e-17,1.62198615754426e-14,"KN motif and ankyrin repeat domains 1","Kank1"
"ENSMUSG00000022562.16",111.373899396245,-3.26284415684027,0.414494485311312,1.19922482857488e-16,1.99392240863752e-14,"5-oxoprolinase (ATP-hydrolysing)","Oplah"
"ENSMUSG00000020486.20",186.742754828712,3.56722998425247,0.44956502625573,1.30795944763015e-16,2.14450851101027e-14,"septin 4","Septin4"
"ENSMUSG00000018217.13",105.455535205579,-11.2517176921261,3.08476011729674,2.57291627862584e-16,4.16072283139425e-14,"peripheral myelin protein 22","Pmp22"
"ENSMUSG00000021850.15",129.145564499274,8.46130987672457,1.00231177926502,3.07046164439531e-16,4.88385364612314e-14,"coiled-coil domain containing 198","ccdc198"
"ENSMUSG00000025085.17",744.002948740857,1.12230339564831,0.142219071439604,3.10282950833745e-16,4.88385364612314e-14,"actin-binding LIM protein 1","Ablim1"
"ENSMUSG00000021000.18",400.118545639387,1.2214903697695,0.155666447686676,4.07588054120113e-16,6.33102234064202e-14,"MIA SH3 domain ER export factor 2","Mia2"
"ENSMUSG00000048332.14",353.526437330619,-1.3512858636623,0.173492711021408,5.678495439347e-16,8.7057972287651e-14,"lipoma HMGIC fusion partner","Lhfp"
"ENSMUSG00000027339.16",80.1703412715133,-3.48182428361317,0.455412212943354,1.23281542691017e-15,1.86581873265059e-13,"Ras association (RalGDS/AF-6) domain family member 2","Rassf2"
"ENSMUSG00000006403.14",117.03269242017,-3.77592423273961,0.49655120136672,1.57384384122763e-15,2.35180082856863e-13,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4","Adamts4"
"ENSMUSG00000028599.11",214.662234652798,-1.83550194162544,0.240787385946991,1.60701621083527e-15,2.3713532961138e-13,"tumor necrosis factor receptor superfamily, member 1b","Tnfrsf1b"
"ENSMUSG00000107176.2",310.006010441431,1.68712332285715,0.221900741100496,2.05755388436824e-15,2.99869427221816e-13,"predicted pseudogene 9794","Gm9794"
"ENSMUSG00000020798.15",49.6539304985837,3.60846620471341,0.477953053582785,2.31159813522778e-15,3.32785560809317e-13,"spinster homolog 3","Spns3"
"ENSMUSG00000001763.15",111.532864237028,3.11479539050094,0.411938239735076,2.35449972179978e-15,3.34877942359596e-13,"tetraspanin 33","Tspan33"
"ENSMUSG00000021236.17",314.562703098297,1.64626661085959,0.218599084004781,3.66276853524104e-15,5.14749792363339e-13,"ectonucleoside triphosphate diphosphohydrolase 5","Entpd5"
"ENSMUSG00000024087.5",135.419522126329,-8.31502598739881,1.0388731952874,4.07726370725541e-15,5.66259977225295e-13,"cytochrome P450, family 1, subfamily b, polypeptide 1","Cyp1b1"
"ENSMUSG00000043760.17",885.14673252824,11.0099107767957,1.43121510715666,4.25265972430018e-15,5.83751721457716e-13,"polycystic kidney and hepatic disease 1","Pkhd1"
"ENSMUSG00000028024.15",321.77651332442,-3.49591024925878,0.469403891517819,4.55519002240939e-15,6.18092163385549e-13,"glutamyl aminopeptidase","Enpep"
"ENSMUSG00000034684.13",298.441984100956,-1.45544054773895,0.194219298378514,5.20889459998886e-15,6.98761372191688e-13,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F","Sema3f"
"ENSMUSG00000064181.7",574.161286494301,1.2608106556688,0.169024057287059,7.88040471717248e-15,1.04526042344069e-12,"RAB3A interacting protein","Rab3ip"
"ENSMUSG00000070780.12",151.088330892088,2.51708022361955,0.340948841812884,8.58114350655247e-15,1.1255599899428e-12,"RNA binding motif protein 47","Rbm47"
"ENSMUSG00000026870.20",62.5306477614085,2.88230356422859,0.389321809276275,8.76375429694589e-15,1.13688043379611e-12,"cutA divalent cation tolerance homolog-like","Cutal"
"ENSMUSG00000029718.15",1158.83558420045,-2.07511680192556,0.28119004637625,8.99548496230057e-15,1.15425760847781e-12,"procollagen C-endopeptidase enhancer protein","Pcolce"
"ENSMUSG00000001119.8",53.4457512188687,-5.13912615493182,0.688869236371428,1.22086952390442e-14,1.54971663760126e-12,"collagen, type VI, alpha 1","Col6a1"
"ENSMUSG00000078920.4",53.2229363728958,-3.18249062721305,0.432675835430668,1.29292699381301e-14,1.62372374063432e-12,"interferon gamma inducible protein 47","Ifi47"
"ENSMUSG00000031734.14",58.4079951206439,4.85368929945774,0.654181322434774,1.35658887656244e-14,1.68574017766522e-12,"Iroquois related homeobox 3","Irx3"
"ENSMUSG00000039943.17",86.6338390904904,-2.8318027875776,0.38768993468848,1.50914345612694e-14,1.8557748437061e-12,"phospholipase C, beta 4","Plcb4"
"ENSMUSG00000026749.12",277.240729966315,-1.4941117254003,0.203666557582982,1.61188465955284e-14,1.96168024804343e-12,"NIMA (never in mitosis gene a)-related expressed kinase 6","Nek6"
"ENSMUSG00000025969.16",364.081051876301,-2.02215940702383,0.277081327326497,1.72592190814165e-14,2.079031441389e-12,"neuropilin 2","Nrp2"
"ENSMUSG00000025150.11",324.039396824857,-2.96292049992533,0.408015414890287,1.92859577170051e-14,2.29970435201258e-12,"carbonyl reductase 2","Cbr2"
"ENSMUSG00000001020.9",115.034812470978,-2.68881825516804,0.37109964111292,2.45019913237423e-14,2.89246007576778e-12,"S100 calcium binding protein A4","S100a4"
"ENSMUSG00000031486.16",217.793417996834,-3.37633524676635,0.472098876274312,3.99621072024933e-14,4.67081856955874e-12,"adhesion G protein-coupled receptor A2","Adgra2"
"ENSMUSG00000037447.17",130.815794202367,-1.81949916570955,0.253193676229479,4.25764247229151e-14,4.92759503778443e-12,"AT rich interactive domain 5A (MRF1-like)","Arid5a"
"ENSMUSG00000027188.9",246.644672333811,2.20315394888594,0.307838151315143,4.74423066927444e-14,5.43744107289173e-12,"peptidase domain containing associated with muscle regeneration 1","Pamr1"
"ENSMUSG00000062563.16",63.7973846345058,10.3257152651189,2.89843863444543,4.81002463178235e-14,5.45984045944141e-12,"cystin 1","Cys1"
"ENSMUSG00000040249.16",1758.61042158073,-1.45813411320905,0.202796579088809,4.87042953723284e-14,5.47575435114606e-12,"low density lipoprotein receptor-related protein 1","Lrp1"
"ENSMUSG00000000031.17",46.9176192469291,-4.2430506079969,0.584432251179179,4.96139232900565e-14,5.52539966451997e-12,"H19, imprinted maternally expressed transcript","H19"
"ENSMUSG00000026463.18",70.2394324712763,-2.27201552675586,0.317040080953892,5.0249737574854e-14,5.54390796328179e-12,"ATPase, Ca++ transporting, plasma membrane 4","Atp2b4"
"ENSMUSG00000022797.17",1538.75873249186,1.44374877959381,0.202415575018589,7.7732245159026e-14,8.49656624168799e-12,"transferrin receptor","Tfrc"
"ENSMUSG00000025993.11",254.61715679964,2.11692212661098,0.301956918859262,1.39304308071613e-13,1.50870399705082e-11,"solute carrier family 40 (iron-regulated transporter), member 1","Slc40a1"
"ENSMUSG00000039349.6",41.2924345146515,5.68828532425443,0.782360173774773,2.31243933671409e-13,2.48166785180998e-11,"RIKEN cDNA C130074G19 gene","C130074G19Rik"
"ENSMUSG00000073678.5",150.447779691694,1.6720572616697,0.242143322005673,3.570636296022e-13,3.79741995266124e-11,"post-GPI attachment to proteins 1","Pgap1"
"ENSMUSG00000019055.16",640.299521045896,-1.17652572406907,0.169566713452724,3.76409556934788e-13,3.96742394608498e-11,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1","Plod1"
"ENSMUSG00000026207.17",220.669225792663,-3.36731698867541,0.496393410879544,4.10879184764347e-13,4.29241484614435e-11,"SPEG complex locus","Speg"
"ENSMUSG00000070436.13",1127.78813821724,-2.58157675365055,0.377638653397171,4.20095497465379e-13,4.32936942905115e-11,"serine (or cysteine) peptidase inhibitor, clade H, member 1","Serpinh1"
"ENSMUSG00000042195.10",54.6861740866173,3.65113089596268,0.530577603514945,4.21751363270548e-13,4.32936942905115e-11,"solute carrier family 35, member F2","Slc35f2"
"ENSMUSG00000028572.14",268.831805684013,1.76537951006808,0.257096532512966,4.49828247842813e-13,4.57777798774518e-11,"hook microtubule tethering protein 1","Hook1"
"ENSMUSG00000025494.9",84.4969497768523,2.69457607487023,0.393920936590135,4.80014945343473e-13,4.84322771776043e-11,"single immunoglobulin and toll-interleukin 1 receptor (TIR) domain","Sigirr"
"ENSMUSG00000047557.3",334.532143512532,-1.3571778703047,0.19791470840774,5.73049218339766e-13,5.73292035805164e-11,"latexin","Lxn"
"ENSMUSG00000057530.15",492.99756604037,-1.41642845451818,0.207775893038902,7.12481793075866e-13,7.06793913215176e-11,"endothelin converting enzyme 1","Ece1"
"ENSMUSG00000034761.16",653.292449044446,1.134391489562,0.165668830048846,7.67246404550588e-13,7.54778650476641e-11,"mitogen-activated protein kinase kinase kinase kinase 5","Map4k5"
"ENSMUSG00000025348.10",215.596778580166,-1.3892763094754,0.204037061857786,7.99820616750874e-13,7.80320857912733e-11,"integrin alpha 7","Itga7"
"ENSMUSG00000062380.5",48.1408480135248,-4.05414383476548,0.596793273646026,8.19455060300131e-13,7.92923523511726e-11,"tubulin, beta 3 class III","Tubb3"
"ENSMUSG00000022537.19",93.6953066459686,-2.37712488361293,0.352450824389034,8.67916577700942e-13,8.26552181005631e-11,"transmembrane protein 44","Tmem44"
"ENSMUSG00000024008.17",35.64279218037,4.15881058902404,0.606312756522972,8.69644876089912e-13,8.26552181005631e-11,"copine V","Cpne5"
"ENSMUSG00000013584.6",108.778796146179,8.8655456794656,1.39016432746917,8.75214084080508e-13,8.26552181005631e-11,"aldehyde dehydrogenase family 1, subfamily A2","Aldh1a2"
"ENSMUSG00000001300.17",163.687501629331,-1.75122966590411,0.25897618917615,9.02723892999459e-13,8.45766314036398e-11,"ephrin B2","Efnb2"
"ENSMUSG00000047040.10",45.7998858804425,6.25164817536458,0.910620482793776,9.21081458430175e-13,8.53096487191637e-11,"proline rich 15-like","Prr15l"
"ENSMUSG00000020183.12",239.128805072121,2.19701378045923,0.325798633385057,9.25000850152728e-13,8.53096487191637e-11,"carboxypeptidase M","Cpm"
"ENSMUSG00000042272.18",739.043995271363,1.20396457810881,0.178514561082688,1.46666658227805e-12,1.34217046541026e-10,"SEC14 and spectrin domains 1","Sestd1"
"ENSMUSG00000020205.9",219.595014715126,-2.20425044699448,0.330688972810543,1.48216690925017e-12,1.34592156643833e-10,"pleckstrin homology like domain, family A, member 1","Phlda1"
"ENSMUSG00000057963.10",131.649129600716,1.79562864367144,0.268726249339116,1.60516182233542e-12,1.44648361165417e-10,"inositol 1,3,4-triphosphate 5/6 kinase","Itpk1"
"ENSMUSG00000039646.6",120.788223304478,-2.06181729995983,0.309804003023005,1.68717383340857e-12,1.50887023510516e-10,"vasorin","Vasn"
"ENSMUSG00000007805.5",61.2929543918378,-2.34235388810297,0.352019506073612,1.80752052698521e-12,1.60434434744815e-10,"twist basic helix-loop-helix transcription factor 2","Twist2"
"ENSMUSG00000032796.9",48.0487105218529,5.42656617522019,0.797438449333402,2.38107754823573e-12,2.09765824305394e-10,"laminin, alpha 1","Lama1"
"ENSMUSG00000032332.18",187.876888860055,-3.04158211193625,0.462826644730138,2.57672191788855e-12,2.23769811743981e-10,"collagen, type XII, alpha 1","Col12a1"
"ENSMUSG00000040447.16",282.459746674957,1.83346361984418,0.277158935527583,2.5947443706075e-12,2.23769811743981e-10,"spinster homolog 2","Spns2"
"ENSMUSG00000021509.6",55.5505138035403,2.5872865968212,0.391749214414888,2.59690505793523e-12,2.23769811743981e-10,"solute carrier family 25, member 48","Slc25a48"
"ENSMUSG00000005364.12",87.3144250161308,8.49874419516658,1.37009206457257,3.34029133599009e-12,2.85740139285239e-10,"interleukin 5 receptor, alpha","Il5ra"
"ENSMUSG00000046447.4",101.394450979547,1.93301403060858,0.295639502092477,4.08301635435918e-12,3.46762647936763e-10,"calcium/calmodulin-dependent protein kinase II inhibitor 1","Camk2n1"
"ENSMUSG00000024736.16",912.215657138789,-1.42409269850803,0.217235319335621,4.22257129055694e-12,3.56053243464462e-10,"transmembrane protein 132A","Tmem132a"
"ENSMUSG00000045005.10",96.8240511816162,1.88878840384031,0.289258217775163,4.34604788340016e-12,3.63865923854886e-10,"frizzled class receptor 5","Fzd5"
"ENSMUSG00000099032.3",189.629286069461,2.44096676412756,0.374987318179119,4.57043664063075e-12,3.79957778469338e-10,"transcription factor 24","Tcf24"
"ENSMUSG00000021565.17",37.5336908133105,4.78806315142158,0.737580163015296,4.88315382046908e-12,4.03116299654807e-10,"solute carrier family 6 (neurotransmitter transporter), member 19","Slc6a19"
"ENSMUSG00000037892.14",50.9757643182867,-3.5697176595718,0.556155808052451,8.01004459449173e-12,6.5665678081927e-10,"protocadherin 18","Pcdh18"
"ENSMUSG00000024663.21",242.136643487867,-2.31944741202694,0.361933830126735,8.09314868900023e-12,6.58893932921709e-10,"RAB3A interacting protein (rabin3)-like 1","Rab3il1"
"ENSMUSG00000039145.17",61.7136107923211,-3.02705833074689,0.47475758370715,1.01519894634141e-11,8.20850928873996e-10,"calcium/calmodulin-dependent protein kinase ID","Camk1d"
"ENSMUSG00000029189.11",32.6491219169072,4.92777574894903,0.745437682157829,1.14200802705957e-11,9.17102364587637e-10,"sel-1 suppressor of lin-12-like 3 (C. elegans)","Sel1l3"
"ENSMUSG00000005124.11",138.713704285733,-2.30895300999711,0.364144553167548,1.2543889269871e-11,1.00054468128937e-09,"cellular communication network factor 4","Ccn4"
"ENSMUSG00000031328.17",2729.72181062734,-1.33676825680438,0.209083213046472,1.30645814440587e-11,1.03508311373902e-09,"filamin, alpha","Flna"
"ENSMUSG00000007872.4",376.75748716593,-1.90930695963329,0.301359254044673,1.40114345058592e-11,1.10269989561112e-09,"inhibitor of DNA binding 3","Id3"
"ENSMUSG00000044641.8",181.96845854371,1.66210215143211,0.261683890711935,1.49789612144928e-11,1.17103733203369e-09,"par-6 family cell polarity regulator beta","Pard6b"
"ENSMUSG00000026202.14",411.333123827864,1.40695141188451,0.221444857646641,1.65793874500395e-11,1.28762940031392e-09,"tubulin, alpha 4A","Tuba4a"
"ENSMUSG00000029811.15",39.7453653176192,6.0229647352303,0.904435253542817,1.9566742030549e-11,1.50970842921981e-09,"amine oxidase, copper-containing 1","Aoc1"
"ENSMUSG00000035104.15",39.0747034007089,3.56001436924504,0.564695183756328,2.11537397568904e-11,1.62155777811747e-09,"eva-1 homolog A (C. elegans)","Eva1a"
"ENSMUSG00000029070.10",202.350753256941,-2.33559702194629,0.374452148306614,2.38057813638236e-11,1.81307902580605e-09,"matrix-remodelling associated 8","Mxra8"
"ENSMUSG00000032500.11",66.8084752276786,8.12461683374285,1.36646165921643,2.44754850775426e-11,1.8521352650025e-09,"doublecortin-like kinase 3","Dclk3"
"ENSMUSG00000027111.17",298.768772945192,1.36537691569951,0.216947067999957,2.55657724948553e-11,1.92231811657176e-09,"integrin alpha 6","Itga6"
"ENSMUSG00000025887.11",49.8354200390161,-6.04854885985861,0.926061257602484,2.81752717696621e-11,2.10512078000545e-09,"caspase 12","Casp12"
"ENSMUSG00000062713.9",102.083097176823,-3.08452716961328,0.498248765211403,2.99241973674178e-11,2.2217305026564e-09,"single-minded family bHLH transcription factor 2","Sim2"
"ENSMUSG00000022816.12",311.049964797496,-2.87880797536681,0.466746434250728,3.56276496231735e-11,2.62865252375977e-09,"follistatin-like 1","Fstl1"
"ENSMUSG00000031538.7",422.252894239576,-1.79970190274305,0.290569343660925,3.64871870978832e-11,2.67534933969262e-09,"plasminogen activator, tissue","Plat"
"ENSMUSG00000031618.14",29.1846335808016,9.00102014292006,2.76120417739631,4.04080973088683e-11,2.9445530168592e-09,"nuclear receptor subfamily 3, group C, member 2","Nr3c2"
"ENSMUSG00000020990.6",50.0718311021099,7.89684393659097,1.34070565785746,4.22006849124625e-11,3.05631340731055e-09,"cyclin-dependent kinase-like 1 (CDC2-related kinase)","Cdkl1"
"ENSMUSG00000021453.3",168.21661617814,-1.34410694241581,0.216571053359381,4.44968408217169e-11,3.20295857256322e-09,"growth arrest and DNA-damage-inducible 45 gamma","Gadd45g"
